ts,open,high,low,close,volume
1788220800000,1.386299967765808,1.3880000114440918,1.3860000371932983,1.3863999843597412,0
1788221100000,1.3863999843597412,1.3863999843597412,1.3840999603271484,1.386199951171875,0
1788221400000,1.3859000205993652,1.3866000175476074,1.3831000328063965,1.3838000297546387,0
1788221700000,1.3838000297546387,1.3871999979019165,1.3838000297546387,1.3859000205993652,0
1788222000000,1.3859000205993652,1.3867000341415405,1.3854999542236328,1.3867000341415405,0
1788222300000,1.3866000175476074,1.388200044631958,1.3859000205993652,1.386199951171875,0
1788222600000,1.386199951171875,1.3869999647140503,1.3841999769210815,1.3844000101089478,0
1788222900000,1.3839000463485718,1.384600043296814,1.3827999830245972,1.3827999830245972,0
1788223200000,1.3831000328063965,1.3833999633789062,1.3818000555038452,1.382200002670288,0
1788223500000,1.382099986076355,1.3834999799728394,1.382099986076355,1.3827999830245972,0
1788223800000,1.3828999996185303,1.3828999996185303,1.3802000284194946,1.3805999755859375,0
1788224100000,1.3806999921798706,1.3809000253677368,1.3792999982833862,1.3806999921798706,1362304
1788224400000,1.3803000450134277,1.3844000101089478,1.3798999786376953,1.3842999935150146,0
1788224700000,1.3841999769210815,1.3870999813079834,1.3837000131607056,1.38510000705719,0
1788225000000,1.3848999738693237,1.385200023651123,1.382599949836731,1.3827999830245972,204160
1788225300000,1.382599949836731,1.3848999738693237,1.382599949836731,1.3827999830245972,1389568
1788225600000,1.3830000162124634,1.3831000328063965,1.381100058555603,1.3819999694824219,0
1788225900000,1.3818999528884888,1.3868000507354736,1.3818000555038452,1.3866000175476074,0
1788226200000,1.3866000175476074,1.3896000385284424,1.385699987411499,1.3896000385284424,0
1788226500000,1.3902000188827515,1.3911999464035034,1.3889000415802002,1.38919997215271,5299968
1788226800000,1.3894000053405762,1.391700029373169,1.388800024986267,1.391700029373169,2064768
1788227100000,1.391700029373169,1.3954999446868896,1.3911999464035034,1.3952000141143799,1830144
1788227400000,1.3948999643325806,1.396299958229065,1.3920999765396118,1.395799994468689,12363008
1788227700000,1.3955999612808228,1.3960000276565552,1.3932000398635864,1.3945000171661377,0
1788228000000,1.3940000534057617,1.3947999477386475,1.392199993133545,1.3931000232696533,299520
1788228300000,1.3931000232696533,1.3932000398635864,1.3877999782562256,1.388200044631958,0
1788228600000,1.3880000114440918,1.3909000158309937,1.3880000114440918,1.3907999992370605,0
1788228900000,1.3901000022888184,1.3904000520706177,1.3869999647140503,1.3874000310897827,893952
1788229200000,1.3874000310897827,1.388200044631958,1.3849999904632568,1.385200023651123,0
1788229500000,1.385200023651123,1.3890000581741333,1.3848999738693237,1.388200044631958,0
1788229800000,1.388100028038025,1.3904999494552612,1.388100028038025,1.3896000385284424,3288576
1788230100000,1.3899999856948853,1.3899999856948853,1.3874000310897827,1.388700008392334,0
1788230400000,1.3884999752044678,1.388800024986267,1.3863999843597412,1.3869999647140503,0
1788230700000,1.3871999979019165,1.3874000310897827,1.38510000705719,1.3861000537872314,0
1788231000000,1.3860000371932983,1.3869999647140503,1.3841999769210815,1.3845000267028809,51200
1788231300000,1.3844000101089478,1.384600043296814,1.3839000463485718,1.3839000463485718,1204608
1788231600000,1.3837000131607056,1.3860000371932983,1.3837000131607056,1.385200023651123,0
1788231900000,1.3848999738693237,1.3860000371932983,1.3840999603271484,1.38510000705719,0
1788232200000,1.3847999572753906,1.3854000568389893,1.3837000131607056,1.3841999769210815,0
1788232500000,1.3844000101089478,1.385200023651123,1.3838000297546387,1.385200023651123,0
